id	gene	start	end	strand	name	cat	clr
slr1501	gene	59746	60423	+	probable acetyltransferase	-	#333333
slr1113	gene	60524	61522	+	ATP-binding protein of ABC transporter	COG1131V	#80B584
slr1114	gene	61834	63591	+	hypothetical protein	-	#333333
slr1115	gene	63588	64361	+	probable methyltransferase	COG2226H	#FFA4A4
slr1116	gene	64393	64914	+	hypothetical protein	COG2318S	#C98767
slr1117	gene	64987	65748	+	hypothetical protein	COG2226H	#FFA4A4
sll1064	gene	65827	67533	-	hypothetical protein	-	#333333
slr1118	gene	67606	68361	+	probable UDP-N-acetyl-D-mannosaminuronic acid transferase	COG1922M	#A6CAA9
sll1063	gene	68400	69059	-	hypothetical protein	COG1214O	#72FE95
slr1119	gene	69284	69985	+	hypothetical protein	COG2755E	#FF7373
sll1062	gene	70016	70393	-	unknown protein	-	#333333
sll1061	gene	70420	70935	-	unknown protein	COG5185	#333333
sll1060	gene	70944	73973	-	hypothetical protein	COG1615S	#C98767
ssl2069	gene	73978	74229	-	hypothetical protein	-	#333333
ssr1853	gene	74498	74785	+	unknown protein	-	#333333
slr1120	gene	74995	75804	+	type 4 prepilin-like proteins leader peptide processing enzyme	COG1989NOU	#E29BFD
sll1059	gene	75955	76500	-	adenylate kinase	COG0563F	#FF8E8E
sll1058	gene	76580	77407	-	dihydrodipicolinate reductase	COG0289E	#FF7373
sll1057	gene	77494	77874	-	thioredoxin M	COG3118O	#72FE95
ssl2065	gene	77980	78246	-	unknown protein	NA	#333333
ssl2064	gene	78206	78445	-	hypothetical protein	NA	#333333
sll1056	gene	78467	80773	-	phosphoribosylformyl glycinamidine synthetase II	COG0046F	#FF8E8E
slr1122	gene	80938	81690	+	hypothetical protein	-	#333333
sll1054	gene	81696	82259	-	hypothetical protein	COG0494LR	#E7A9FE
sll1053	gene	82291	83853	-	hypothetical protein	COG0845M	#A6CAA9
slr1123	gene	84122	84697	+	guanylate kinase	COG0194F	#FF8E8E
slr1124	gene	84776	86107	+	phosphoglycerate mutase	COG0406G	#FF5353
slr1125	gene	86210	87418	+	probable glucosyl transferase	COG1819GC	#EDBEFE
sll1052	gene	87536	87910	-	hypothetical protein	COG0730R	#C27E3A
sll1051	gene	88017	88661	-	phycocyanin alpha-subunit phycocyanobilin lyase	COG1413C	#991616
sll1049	gene	88818	90512	-	hypothetical protein	COG1305E	#FF7373
slr1127	gene	90620	91411	+	unknown protein	-	#333333
slr1128	gene	91517	92482	+	hypothetical protein	COG0330O	#72FE95
slr1129	gene	93128	95152	+	ribonuclease E	COG1530J	#0066FF
slr1130	gene	95236	95808	+	ribonuclease HII	COG0164L	#00FFFF
sll1045	gene	95818	96228	-	mutator MutT protein	COG1051F	#FF8E8E
sll1043	gene	96325	98481	-	polyribonucleotide nucleotidyltransferase	COG1185J	#0066FF
sll0716	gene	98609	99199	-	leader peptidase I (signal peptidase I)	COG0681U	#4BFE78
slr0721	gene	99402	100793	+	malic enzyme	COG0281C	#991616
sll0712	gene	100794	101771	-	cysteine synthase	COG0031E	#FF7373
sll0711	gene	101884	102831	-	isopentenyl monophosphate kinase	COG1947I	#FF3333
sll0710	gene	102930	105110	-	unknown protein	-	#333333
sll0709	gene	105151	106539	-	putative endonuclease	COG1401V	#80B584
smr0012	gene	107017	107208	+	putative transposase [ISY523j(partial copy): 106904 - 107226]	NA	#333333
sll0708	gene	107471	108325	-	dimethyladenosine transferase	COG0030J	#0066FF
slr0722	gene	108479	109201	+	hypothetical protein	COG1385S	#C98767
slr0723	gene	109222	110313	+	hypothetical protein	-	#333333
slr0724	gene	110392	110724	+	HtaR suppressor protein homolog	COG2002K	#99CCFF
slr0725	gene	110808	111224	+	hypothetical protein	-	#333333
slr0727	gene	111585	112559	+	unknown protein	-	#333333
slr0728	gene	113112	114188	+	hypothetical protein	COG3307M	#A6CAA9
slr0729	gene	114319	114624	+	hypothetical protein	-	#333333
slr0730	gene	114874	115272	+	hypothetical protein	-	#333333
slr0731	gene	115269	116477	+	hypothetical protein	-	#333333
sll0704	gene	116518	117693	-	cysteine desulfurase	COG1104E	#FF7373
slr0732	gene	117869	118336	+	hypothetical protein	COG3431S	#C98767
sll0703	gene	118333	119532	-	unknown protein	COG1249C	#991616
sll0702	gene	119570	119962	-	unknown protein	-	#333333
ssl1328	gene	120298	120537	-	hypothetical protein	NA	#333333
slr0733	gene	120719	121660	+	integrase-recombinase protein	COG4974L	#00FFFF
ssl1326	gene	121706	121963	-	unknown protein	-	#333333
slr0734	gene	122287	123405	+	hypothetical protein	COG0665E	#FF7373
sll0700	gene	123501	123995	-	putative transposase [ISY100i: 123475 - 124420]	COG3335L	#00FFFF
sll0699	gene	123989	124348	-	putative transposase [ISY100i: 123475 - 124420]	COG3415L	#00FFFF
sll0698	gene	124452	126443	-	drug sensory protein A, low temperature sensor, two-component sensor histidine kinase	COG5002T	#93BF96
slr0737	gene	126639	127064	+	photosystem I subunit II	-	#333333
slr0738	gene	127186	128712	+	anthranilate synthetase alpha-subunit	COG0147EH	#F0CBFE
slr0739	gene	128802	129710	+	geranylgeranyl pyrophosphate synthase	COG0142H	#FFA4A4
slr0740	gene	129791	130186	+	hypothetical protein	-	#333333
sll0696	gene	130167	131039	-	hypothetical protein	-	#333333
slr0741	gene	131116	131790	+	transcriptional regulator	COG0704P	#CC3333
slr0742	gene	131877	132407	+	hypothetical protein	COG0779S	#C98767
slr0743	gene	132483	133859	+	similar to N utilization substance protein	COG0195K	#99CCFF
ssr1238	gene	133923	134177	+	hypothetical protein	NA	#333333
slr0744	gene	134437	137442	+	translation initiation factor IF-2	COG0532J	#0066FF
slr0236	gene	137444	138112	+	similar to glutathione S-transferase	COG0625O	#72FE95
ssl0431	gene	138145	138339	-	unknown protein	NA	#333333
slr0237	gene	138295	140535	+	glycogen operon protein GlgX homolog	COG1523G	#FF5353
slr0238	gene	140585	141007	+	hypothetical protein	-	#333333
ssl0426	gene	141123	141416	-	putative transposase [ISY100t(partial copy): 141097 - 141410]	COG3335L	#00FFFF
slr0239	gene	141648	142442	+	precorrin-4 C11-methyltransferase	COG2875H	#FFA4A4
slr0240	gene	142559	142981	+	transcriptional regulator	COG3682K	#99CCFF
slr0241	gene	142981	143826	+	hypothetical protein	COG0501O	#72FE95
slr0242	gene	144061	144543	+	bacterioferritin comigratory protein homolog	COG1225O	#72FE95
slr0243	gene	144554	145081	+	hypothetical protein	-	#333333
sll0230	gene	145164	145469	-	hypothetical protein	COG0011S	#C98767
slr0244	gene	145761	146615	+	hypothetical protein	COG0589T	#93BF96
sml0003	gene	146724	146831	-	photosystem II reaction center M protein	-	#333333
slr0245	gene	146980	147894	+	Histone deacetylase family protein	COG0123BQ	#9669FE
sll0228	gene	148022	148942	-	arginase	COG0010E	#FF7373
sll0227	gene	148943	149683	-	peptidyl-prolyl cis-trans isomerase B, periplasmic protein	COG0652O	#72FE95
sll0226	gene	149889	150455	-	photosystem I assembly related protein	-	#333333
sll0225	gene	150594	152132	-	unknown protein	-	#333333
sll0224	gene	152154	153050	-	amino-acid ABC transporter binding protein	COG0834ET	#A27AFE
slr0249	gene	153622	153996	+	hypothetical protein	-	#333333
slr0250	gene	154143	154679	+	hypothetical protein	COG1934S	#C98767
slr0251	gene	154703	155461	+	ATP-binding protein of ABC transporter	COG1137R	#C27E3A
slr0252	gene	155473	156258	+	probable precorrin-6x reductase	COG2099H	#FFA4A4
ssr0390	gene	156391	156651	+	photosystem I reaction center subunit X	-	#333333
ssl0410	gene	156741	157013	-	unknown protein	-	#333333
sll0223	gene	157050	158615	-	NADH dehydrogenase subunit 2	COG1007C	#991616
sll0222	gene	158757	159737	-	putative purple acid phosphatase	COG1409R	#C27E3A
sgl0002	gene	159812	159961	-	hypothetical protein	-	#333333
sml0004	gene	160004	160093	-	cytochrome b6-f complex subunit VIII	-	#333333
slr0254	gene	160258	161058	+	hypothetical protein	COG1714S	#C98767
sll0221	gene	161088	161642	-	bacterioferritin comigratory protein	COG1225O	#72FE95
sll0220	gene	161768	163663	-	L-glutamine:D-fructose-6-P amidotransferase	COG0449M	#A6CAA9
sll0219	gene	164037	165821	-	flavoprotein	COG0426C	#991616
sll0218	gene	165871	166389	-	hypothetical protein	COG3431S	#C98767
sll0217	gene	166416	168152	-	flavoprotein	COG0426C	#991616
slr0257	gene	168533	169921	+	periplasmic carboxyl-terminal protease	COG0793M	#A6CAA9
sll0216	gene	169934	170566	-	hypothetical protein	COG0009J	#0066FF
slr1411	gene	170572	171840	+	hypothetical protein	COG1641S	#C98767
sll1327	gene	171939	172883	-	ATP synthase gamma chain	COG0224C	#991616
sll1326	gene	173014	174525	-	ATP synthase alpha chain	COG0056C	#991616
sll1325	gene	174586	175143	-	ATP synthase delta chain of CF(1)	COG0712C	#991616
sll1324	gene	175143	175682	-	ATP synthase B chain (subunit I) of CF(0)	COG0711C	#991616
sll1323	gene	175708	176139	-	ATP synthase subunit b' of CF(0)	COG0711C	#991616
ssl2615	gene	176256	176501	-	ATP synthase C chain of CF(0)	COG0636C	#991616
sll1322	gene	176693	177439	-	ATP synthase A chain of CF(0)	COG0356C	#991616
sll1321	gene	177592	177945	-	hypothetical protein	-	#333333
slr1413	gene	178237	179682	+	hypothetical protein	COG3597S	#C98767
slr1414	gene	179968	181047	+	two-component sensor histidine kinase	COG0642T	#93BF96
slr1415	gene	181073	182221	+	hypothetical protein	-	#333333
slr1416	gene	182405	183298	+	similar to MorR protein	COG0714R	#C27E3A
slr1417	gene	183493	183849	+	hypothetical protein YCF57	COG0316S	#C98767
sll1319	gene	183935	184924	-	hypothetical protein	COG5006R	#C27E3A
sll1318	gene	184968	185636	-	hypothetical protein	-	#333333
sll1041	gene	185772	186554	-	similar to sulfate transport ATP-binding protein CysA	COG1127Q	#993366
sll1040	gene	186601	188898	-	unknown protein	COG0668M	#A6CAA9
slr1093	gene	189128	189715	+	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	COG0801H	#FFA4A4
slr1094	gene	190033	190818	+	hypothetical protein	COG4328S	#C98767
sll1039	gene	190815	191819	-	hypothetical protein	COG2307S	#C98767
slr1095	gene	192136	192783	+	hypothetical protein	COG4636S	#C98767
slr1096	gene	192882	194306	+	dihydrolipoamide dehydrogenase	COG1249C	#991616
slr1097	gene	194310	194801	+	hypothetical protein	COG5474S	#C98767
slr1098	gene	194859	195617	+	hypothetical protein	COG1413C	#991616
slr1099	gene	195685	196305	+	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	COG0163H	#FFA4A4
slr1100	gene	196611	196991	+	hypothetical protein	-	#333333
slr1101	gene	197072	197557	+	hypothetical protein	COG0589T	#93BF96
slr1102	gene	197624	200185	+	hypothetical protein	COG2200T	#93BF96
slr1103	gene	200405	202525	+	hypothetical protein	COG5001T	#93BF96
slr1104	gene	202554	204395	+	hypothetical protein	COG2200T	#93BF96
slr1105	gene	204721	206397	+	GTP-binding protein TypA/BipA homolog	COG1217T	#93BF96
sll1037	gene	206863	208338	-	unknown protein	COG2358R	#C27E3A
sll1036	gene	208549	209427	-	hypothetical protein	COG1235R	#C27E3A
ssl2009	gene	209527	209826	-	hypothetical protein	-	#333333
sll1035	gene	209896	210546	-	uracil phosphoribosyltransferase	COG0035F	#FF8E8E
slr1106	gene	210781	211629	+	prohibitin	COG0330O	#72FE95
slr1107	gene	211734	213068	+	unknown protein	-	#333333
sll1033	gene	213031	215037	-	probable protein phosphatase	COG0631T	#93BF96
sll1032	gene	215504	216229	-	carbon dioxide concentrating mechanism protein CcmN, putative carboxysome assembly protein	COG0663R	#C27E3A
sll1031	gene	216264	218327	-	carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein	COG0663R	#C27E3A
sll1030	gene	218407	218709	-	carbon dioxide concentrating mechanism protein CcmL, putative carboxysome assembly protein	COG4576QC	#AD8BFE
sll1029	gene	218742	219077	-	carbon dioxide concentrating mechanism protein CcmK	COG4577QC	#AD8BFE
sll1028	gene	219206	219517	-	carbon dioxide concentrating mechanism protein CcmK	COG4577QC	#AD8BFE
sll1027	gene	219979	221463	-	NADH-dependent glutamate synthase small subunit	COG0493ER	#B89AFE
slr1109	gene	221742	223067	+	similar to ankyrin	COG0666R	#C27E3A
slr1110	gene	223018	223596	+	hypothetical protein	-	#333333
slr1772	gene	223673	224806	+	probable hydrolase, periplasmic protein	COG3049M	#A6CAA9
sll1686	gene	224897	226363	-	hypothetical protein	COG2251R	#C27E3A
ssr2972	gene	226928	227098	+	unknown protein	-	#333333
slr1773	gene	227123	227899	+	unknown protein	COG3900S	#C98767
slr1774	gene	227943	228812	+	unknown protein	-	#333333
slr1776	gene	228866	230566	+	high affinity sulfate transporter	COG0659P	#CC3333
sll1685	gene	230658	231839	-	protein involved in light-induced Na+-dependent proton extrusion	-	#333333
slr1777	gene	232008	234038	+	magnesium protoporphyrin IX chelatase subunit D	COG1239H	#FFA4A4
ssr2975	gene	234120	234308	+	unknown protein	NA	#333333
slr1778	gene	234305	234838	+	unknown protein	-	#333333
sll1683	gene	234905	236356	-	lysine decarboxylase	COG1982E	#FF7373
sll1682	gene	236356	237438	-	alanine dehydrogenase	COG0686E	#FF7373
slr1779	gene	237600	238325	+	pyridoxal phosphate biosynthetic protein PdxJ	COG0854H	#FFA4A4
slr1780	gene	238425	238745	+	hypothetical protein YCF54	-	#333333
sll1681	gene	238804	240327	-	unknown protein	COG5279D	#59955C
sll1680	gene	240299	240829	-	hypothetical protein	COG0229O	#72FE95
sll1679	gene	240863	242047	-	periplasmic protease HhoA	COG0265O	#72FE95
slr1783	gene	242246	243094	+	two-component response regulator NarL subfamily	COG2197TK	#C4ABFE
slr1784	gene	243158	244144	+	biliverdin reductase	COG0673R	#C27E3A
sll1678	gene	244160	244708	-	similar to spore maturation protein A	COG0700S	#C98767
sll1677	gene	244783	245394	-	similar to spore maturation protein B	COG2715R	#C27E3A
sll1676	gene	245502	247019	-	4-alpha-glucanotransferase	COG1640G	#FF5353
sll1675	gene	247117	247569	-	hypothetical protein	COG0346E	#FF7373
slr1787	gene	247670	248713	+	thiamine-monophosphate kinase	COG0611H	#FFA4A4
slr1788	gene	249062	250117	+	unknown protein	-	#333333
slr1789	gene	250160	251641	+	unknown protein	-	#333333
sll1673	gene	251758	253116	-	two-component response regulator	COG3706T	#93BF96
sll1672	gene	253125	255629	-	two-component hybrid sensor and regulator	COG3447T	#93BF96
sll1671	gene	255823	256305	-	hypothetical protein	COG0456R	#C27E3A
slr1790	gene	256698	257279	+	hypothetical protein	COG1981S	#C98767
slr1791	gene	257426	258175	+	phosphoadenosine phosphosulfate reductase	COG0175EH	#F0CBFE
sll1670	gene	258227	259363	-	heat-inducible transcription repressor HrcA homolog	COG1420K	#99CCFF
sll1669	gene	259702	260271	-	shikimate kinase	COG0703E	#FF7373
slr1793	gene	260502	261638	+	transaldolase	COG0176G	#FF5353
ssr2998	gene	261863	262060	+	hypothetical protein	-	#333333
slr1794	gene	262177	263265	+	probable anion transporting ATPase	COG0003P	#CC3333
slr1795	gene	263321	263965	+	peptide methionine sulfoxide reductase	COG0225O	#72FE95
ssr3000	gene	264190	264477	+	hypothetical protein	COG5626S	#C98767
sll1667	gene	264516	265316	-	periplasmic protein, similar to mitochondrial outer membrane 72K protein	COG5010U	#4BFE78
sll1666	gene	265414	265893	-	DnaJ-like protein	COG0484O	#72FE95
slr1796	gene	265995	266600	+	hypothetical protein	-	#333333
sll1665	gene	266702	268471	-	unknown protein	-	#333333
sll1664	gene	268789	269727	-	probable glycosyl transferase	COG1216R	#C27E3A
sll1663	gene	269773	270435	-	phycocyanin alpha phycocyanobilin lyase related protein	COG1413C	#991616
sll1662	gene	270476	271369	-	probable prephenate dehydratase	COG0077E	#FF7373
slr1798	gene	271600	273357	+	unknown protein	COG3447T	#93BF96
ssl3222	gene	273522	273767	-	unknown protein	NA	#333333
sll1660	gene	273802	274386	-	hypothetical protein	COG0317TK	#C4ABFE
sll1659	gene	274502	275680	-	hypothetical protein	COG1060HR	#D0BCFE
sll1658	gene	275807	276283	-	hypothetical protein	-	#333333
slr1799	gene	276429	278342	+	hypothetical protein	-	#333333
slr1800	gene	278494	279561	+	hypothetical protein	-	#333333
sll1656	gene	279512	280087	-	hypothetical protein	-	#333333
sll1655	gene	280127	280951	-	similar to biotin [acetyl-CoA-carboxylase] ligase	COG0340H	#FFA4A4
sll1654	gene	280970	281380	-	hypothetical protein	COG0589T	#93BF96
sll1653	gene	281507	282223	-	2-phytyl-1,4-benzoquinone methyltransferase	COG2226H	#FFA4A4
sll1652	gene	282290	282541	-	hypothetical protein	COG5304S	#C98767
sll1651	gene	282510	282821	-	hypothetical protein	NA	#333333
slr1289	gene	283060	284487	+	isocitrate dehydrogenase (NADP+)	COG0538C	#991616
slr1290	gene	284508	285080	+	hypothetical protein	COG4636S	#C98767
sll1201	gene	285144	285938	-	hypothetical protein	COG5464S	#C98767
slr1291	gene	286164	287843	+	NADH dehydrogenase subunit 4	COG1008C	#991616
sll1200	gene	287929	289104	-	hypothetical protein	-	#333333
slr1293	gene	289322	290845	+	similar to phytoene dehydrogenase	COG1233Q	#993366
ssr2142	gene	290902	291174	+	hypothetical protein YCF19	COG0762S	#C98767
slr1295	gene	291626	292708	+	iron transport system substrate-binding protein	COG1840P	#CC3333
sll1198	gene	292790	293485	-	tRNA (guanine-N1)-methyltransferase	COG0336J	#0066FF
ssl2384	gene	293496	293669	-	unknown protein	-	#333333
sll1196	gene	293878	294963	-	phosphofructokinase	COG0205G	#FF5353
slr1298	gene	295076	297343	+	unknown protein	COG1289S	#C98767
ssl2380	gene	297324	297521	-	unknown protein	NA	#333333
sll1194	gene	297493	297888	-	photosystem II 12 kDa extrinsic protein	-	#333333
sll1193	gene	298083	298580	-	hypothetical protein	COG1403V	#80B584
slr1299	gene	299522	300883	+	UDP-glucose dehydrogenase	COG1004M	#A6CAA9
slr1300	gene	301110	302354	+	similar to 2-octaprenyl-6-methoxyphenol hydroxylase	COG0654HC	#BC2EBC
sll1192	gene	302367	302789	-	hypothetical protein	COG0239D	#59955C
sll1191	gene	302786	303097	-	hypothetical protein	-	#333333
ssr2153	gene	303424	303621	+	unknown protein	-	#333333
slr1301	gene	303939	305546	+	hypothetical protein	COG1196D	#59955C
slr1302	gene	305676	306824	+	protein involved in constitutive low affinity CO2 uptake	-	#333333
slr1303	gene	306844	308076	+	hypothetical protein	COG1262S	#C98767
sll1189	gene	308114	309418	-	glycolate oxidase subunit GlcE	COG0277C	#991616
slr1305	gene	309649	312171	+	two-component response regulator	COG5001T	#93BF96
slr1306	gene	312258	313715	+	hypothetical protein	-	#333333
sll1188	gene	313705	314199	-	hypothetical protein	COG3542S	#C98767
sll1187	gene	314255	315106	-	prolipoprotein diacylglyceryl transferase	COG0682M	#A6CAA9
sll1186	gene	315134	315784	-	hypothetical protein	COG4636S	#C98767
sll1185	gene	315882	316904	-	coproporphyrinogen III oxidase, aerobic (oxygen-dependent)	COG0408H	#FFA4A4
sll1184	gene	317127	317849	-	heme oxygenase	COG5398P	#CC3333
slr1307	gene	317984	318571	+	hypothetical protein	-	#333333
ssr1604	gene	318661	318897	+	50S ribosomal protein L28	COG0227J	#0066FF
slr0962	gene	319096	320529	+	unknown protein	-	#333333
sll0943	gene	320785	321447	-	unknown protein	-	#333333
slr0963	gene	321699	323606	+	ferredoxin-sulfite reductase	COG0155P	#CC3333
slr0964	gene	323805	324731	+	hypothetical protein	COG0672P	#CC3333
slr0965	gene	324831	326006	+	DNA polymerase III beta subunit	COG0592L	#00FFFF
slr0966	gene	326150	326944	+	tryptophan synthase alpha chain	COG0159E	#FF7373
slr0967	gene	327100	327552	+	hypothetical protein	COG1357S	#C98767
sll0939	gene	327604	327981	-	hypothetical protein	COG4828S	#C98767
sll0938	gene	328006	329181	-	aspartate transaminase	COG0436E	#FF7373
ssl1792	gene	329222	329521	-	hypothetical protein	-	#333333
sll0936	gene	329555	331060	-	putative oxidoreductase	COG0043H	#FFA4A4
slr0969	gene	331144	333027	+	precorrin methylase	COG1010H	#FFA4A4
slr0971	gene	333130	334485	+	hypothetical protein	-	#333333
sll0934	gene	334568	335623	-	carboxysome formation protein CcmA	COG2876E	#FF7373
sll0933	gene	335819	336295	-	hypothetical protein	-	#333333
ssl1784	gene	336313	336582	-	30S ribosomal protein S15	COG0184J	#0066FF
sll0932	gene	336747	337760	-	hypothetical protein	COG0701R	#C27E3A
sll0931	gene	337861	338331	-	hypothetical protein	-	#333333
sll0930	gene	338503	339096	-	unknown protein	-	#333333
sll0928	gene	339140	339625	-	allophycocyanin-B	-	#333333
sll0927	gene	339737	340966	-	S-adenosylmethionine synthetase	COG0192H	#FFA4A4
sll0926	gene	341135	342139	-	hypothetical protein	COG0042J	#0066FF
sll0925	gene	342151	342759	-	hypothetical protein	COG4636S	#C98767
slr0974	gene	343026	343559	+	initiation factor IF-3	COG0290J	#0066FF
slr0975	gene	343863	344720	+	hypothetical protein	COG4735S	#C98767
sll0924	gene	344744	345298	-	hypothetical protein	COG2389R	#C27E3A
sll0923	gene	345536	347806	-	unknown protein	COG3206M	#A6CAA9
sll0922	gene	348384	348734	-	unknown protein	-	#333333
slr0976	gene	348701	349429	+	hypothetical protein	COG4636S	#C98767
slr0977	gene	349468	350298	+	ABC transporter, permease component	COG1682GM	#D54FD5
slr0978	gene	350509	350916	+	hypothetical protein	-	#333333
slr0980	gene	351036	351467	+	hypothetical protein	-	#333333
slr0981	gene	351538	352101	+	hypothetical protein	COG4636S	#C98767
slr0982	gene	352263	353555	+	probable polysaccharide ABC transporter ATP binding subunit	COG1134GM	#D54FD5
slr0983	gene	353552	354322	+	glucose-1-phosphate cytidylyltransferase	COG1208MJ	#DD75DD
slr0984	gene	354323	355405	+	CDP-glucose 4,6-dehydratase	COG0451MG	#D568FD
slr0985	gene	355424	355993	+	dTDP-4-dehydrorhamnose 3,5-epimerase	COG1898M	#A6CAA9
slr1610	gene	355909	357210	+	putative C-3 methyl transferase	-	#333333
slr1611	gene	357245	357697	+	hypothetical protein	COG0653U	#4BFE78
slr1612	gene	357748	358608	+	hypothetical protein	COG4636S	#C98767
slr1613	gene	358760	359350	+	hypothetical protein	COG4636S	#C98767
slr1614	gene	359668	359973	+	hypothetical protein	-	#333333
slr1615	gene	360030	361166	+	perosamine synthetase	COG0399M	#A6CAA9
slr1616	gene	361163	362188	+	unknown protein	COG0458EF	#DD75DD
slr1617	gene	362185	363420	+	similar to UDP-glucose 4-epimerase	COG0451MG	#D568FD
slr1618	gene	363433	364218	+	unknown protein	COG2227H	#FFA4A4
slr1619	gene	364247	364996	+	hypothetical protein	COG3510V	#80B584
slr1062	gene	365274	365621	+	unknown protein	-	#333333
slr1063	gene	365716	367785	+	probable glycosyltransferase	COG0463M	#A6CAA9
slr1064	gene	367807	368910	+	probable glycosyltransferase	COG0438M	#A6CAA9
slr1065	gene	369254	370219	+	probable glycosyltransferase	COG0463M	#A6CAA9
slr1066	gene	370285	371490	+	unknown protein	COG0438M	#A6CAA9
slr1067	gene	371487	372509	+	UDP-glucose 4-epimerase	COG1087M	#A6CAA9
slr1068	gene	372811	373167	+	hypothetical protein	COG0293J	#0066FF
slr1069	gene	373231	373644	+	hypothetical protein	-	#333333
slr1070	gene	373654	374511	+	unknown protein	COG0463M	#A6CAA9
slr1071	gene	374646	375452	+	unknown protein	COG2227H	#FFA4A4
slr1072	gene	375470	376432	+	GDP-D-mannose dehydratase	COG1089M	#A6CAA9
slr1073	gene	376485	377639	+	unknown protein	COG0438M	#A6CAA9
slr1074	gene	377620	378951	+	unknown protein	-	#333333
slr1075	gene	379065	379913	+	putative transposase [ISY100b: 378993 - 379939]	COG3335L	#00FFFF
slr1076	gene	380030	381175	+	probable glycosyltransferase	COG0438M	#A6CAA9
