idtwo	org	type	gi
NC_020053	Chamaesiphon minutus PCC 6605	pCHA6605.01	436736818
NC_019699	Chroococcidiopsis thermalis PCC 7203	pCHRO.01	428204730
NC_019695	Chroococcidiopsis thermalis PCC 7203	chr	428205073
NC_019696	Chroococcidiopsis thermalis PCC 7203	pCHRO.02	428210482
NC_019735	Crinalium epipsammum PCC 9333	pCRI9333.04	428303616
NC_019737	Crinalium epipsammum PCC 9333	pCRI9333.07	428303659
NC_019753	Crinalium epipsammum PCC 9333	chr	428303693
NC_019754	Crinalium epipsammum PCC 9333	pCRI9333.03	428308168
NC_019755	Crinalium epipsammum PCC 9333	pCRI9333.06	428308218
NC_019756	Crinalium epipsammum PCC 9333	pCRI9333.08	428308241
NC_019733	Crinalium epipsammum PCC 9333	pCRI9333.01	428308248
NC_019734	Crinalium epipsammum PCC 9333	pCRI9333.02	428308292
NC_019736	Crinalium epipsammum PCC 9333	pCRI9333.05	428308343
NC_019776	Cyanobacterium aponinum PCC 10605	chr	428768415
NC_019777	Cyanobacterium aponinum PCC 10605	pCYAN10605.01	428771774
NC_019778	Cyanobacterium stanieri PCC 7202	chr	428771848
NC_019675	Cyanobium gracile PCC 6307	chr	427701340
NC_010539	Cyanothece sp. ATCC 51142	plasmid A	172034820
NC_010541	Cyanothece sp. ATCC 51142	plasmid B	172034859
NC_010542	Cyanothece sp. ATCC 51142	plasmid C	172034885
NC_010543	Cyanothece sp. ATCC 51142	plasmid D	172034905
NC_010546	Cyanothece sp. ATCC 51142	cir	172034917
NC_010547	Cyanothece sp. ATCC 51142	linear	172054853
NC_011729	Cyanothece sp. PCC 7424	chr	218437013
NC_011730	Cyanothece sp. PCC 7424	pP742403	218442241
NC_011732	Cyanothece sp. PCC 7424	Pp742404	218442305
NC_011733	Cyanothece sp. PCC 7424	pP742405	218442325
NC_011734	Cyanothece sp. PCC 7424	pP742406	218442342
NC_011737	Cyanothece sp. PCC 7424	Pp742402	218442435
NC_011738	Cyanothece sp. PCC 7424	pP742401	218442611
NC_011880	Cyanothece sp. PCC 7425	pP742501	219883096
NC_011882	Cyanothece sp. PCC 7425	pP742503	219883409
NC_011884	Cyanothece sp. PCC 7425	chr	220905643
NC_011885	Cyanothece sp. PCC 7425	pP742502	220910610
NC_014504	Cyanothece sp. PCC 7822	Cy782205	307149645
NC_014503	Cyanothece sp. PCC 7822	Cy782204	307149679
NC_014502	Cyanothece sp. PCC 7822	Cy782203	307149708
NC_014501	Cyanothece sp. PCC 7822	chr	307149945
NC_014535	Cyanothece sp. PCC 7822	Cy782206	307591243
NC_014534	Cyanothece sp. PCC 7822	Cy782202	307591289
NC_014533	Cyanothece sp. PCC 7822	Cy782201	307591951
NC_011721	Cyanothece sp. PCC 8801	pP880101	218203844
NC_011723	Cyanothece sp. PCC 8801	pP880102	218203933
NC_011726	Cyanothece sp. PCC 8801	chr	218244892
NC_011727	Cyanothece sp. PCC 8801	pP880103	218249153
NC_013160	Cyanothece sp. PCC 8802	pP880201	256818682
NC_013167	Cyanothece sp. PCC 8802	pP880203	256823861
NC_013168	Cyanothece sp. PCC 8802	pP880204	256823891
NC_013161	Cyanothece sp. PCC 8802	chr	257057919
NC_013163	Cyanothece sp. PCC 8802	pP880202	257062240
NC_019744	Cylindrospermum stagnale PCC 7417	pCYLST.02	434389956
NC_019757	Cylindrospermum stagnale PCC 7417	chr	434402184
NC_019758	Cylindrospermum stagnale PCC 7417	pCYLST.03	434408147
NC_020050	Cylindrospermum stagnale PCC 7417	pCYLST.01	436669979
NC_019780	Dactylococcopsis salina PCC 8305	chr	428778395
NC_019703	Geitlerinema sp. PCC 7407	chr	428223461
NC_022600	Gloeobacter kilaueensis JS1	chr	554634310
NC_005125	Gloeobacter violaceus PCC 7421	chr	37519569
NC_019745	Gloeocapsa sp. PCC 7428	chr	434390831
NC_019746	Gloeocapsa sp. PCC 7428	pGLO7428.01	434395721
NC_019747	Gloeocapsa sp. PCC 7428	pGLO7428.04	434395856
NC_019759	Gloeocapsa sp. PCC 7428	pGLO7428.03	434408186
NC_020051	Gloeocapsa sp. PCC 7428	pGLO7428.02	436735872
NC_019779	Halothece sp. PCC 7418	chr	428774686
NC_019683	Leptolyngbya sp. PCC 7376	chr	427722021
NC_019738	Microcoleus sp. PCC 7113	chr	428308377
NC_019739	Microcoleus sp. PCC 7113	pMIC7113.01	428314405
NC_019742	Microcoleus sp. PCC 7113	pMIC7113.06	428314511
NC_019761	Microcoleus sp. PCC 7113	pMIC7113.04	428314544
NC_019740	Microcoleus sp. PCC 7113	pMIC7113.03	428314593
NC_019741	Microcoleus sp. PCC 7113	pMIC7113.05	428314670
NC_019743	Microcoleus sp. PCC 7113	pMIC7113.08	428314710
NC_019760	Microcoleus sp. PCC 7113	pMIC7113.02	428314740
NC_019762	Microcoleus sp. PCC 7113	pMIC7113.07	428314808
NC_010296	Microcystis aeruginosa NIES-843	chr	166362741
NC_014248	'Nostoc azollae' 0708	chr	298489614
NC_014249	'Nostoc azollae' 0708	pAzo01	298501383
NC_014250	'Nostoc azollae' 0708	pAzo02	298501435
NC_010628	Nostoc punctiforme PCC 73102	chr	186680550
NC_010629	Nostoc punctiforme PCC 73102	pNPUN05	186686638
NC_010630	Nostoc punctiforme PCC 73102	pNPUN03	186686664
NC_010631	Nostoc punctiforme PCC 73102	pNPUN01	186686738
NC_010633	Nostoc punctiforme PCC 73102	pNPUN04	186686999
NC_010632	Nostoc punctiforme PCC 73102	pNPUN02	186687048
NC_019676	Nostoc sp. PCC 7107	chr	427705465
NC_003241	Nostoc sp. PCC 7120	pCC7120zeta	17158061
NC_003240	Nostoc sp. PCC 7120	pCC7120beta	17158637
NC_003267	Nostoc sp. PCC 7120	pCC7120gamma	17227374
NC_003270	Nostoc sp. PCC 7120	pCC7120epsilon	17227465
NC_003272	Nostoc sp. PCC 7120	chr	17227497
NC_003273	Nostoc sp. PCC 7120	pCC7120delta	17232874
NC_003276	Nostoc sp. PCC 7120	pCC7120alpha	17233017
NC_019685	Nostoc sp. PCC 7524	pNOS7524.02	427726360
NC_019677	Nostoc sp. PCC 7524	pNOS7524.01	427726395
NC_019684	Nostoc sp. PCC 7524	chr	427727289
NC_019700	Oscillatoria acuminata PCC 6304	pOSCIL6304.01	428210485
NC_019693	Oscillatoria acuminata PCC 6304	chr	428210537
NC_019694	Oscillatoria acuminata PCC 6304	pOSCIL6304.02	428216242
NC_019730	Oscillatoria nigro-viridis PCC 7112	pOSC7112.02	428314827
NC_019731	Oscillatoria nigro-viridis PCC 7112	pOSC7112.03	428315019
NC_019764	Oscillatoria nigro-viridis PCC 7112	pOSC7112.04	428315127
NC_019729	Oscillatoria nigro-viridis PCC 7112	chr	428315182
NC_019732	Oscillatoria nigro-viridis PCC 7112	pOSC7112.05	428320964
NC_019763	Oscillatoria nigro-viridis PCC 7112	pOSC7112.01	428320975
NC_019689	Pleurocapsa sp. PCC 7327	chr	428200461
NC_008816	Prochlorococcus marinus str. AS9601	chr	123967536
NC_009976	Prochlorococcus marinus str. MIT 9211	chr	159902540
NC_009840	Prochlorococcus marinus str. MIT 9215	chr	157412338
NC_009091	Prochlorococcus marinus str. MIT 9301	chr	126695337
NC_008820	Prochlorococcus marinus str. MIT 9303	chr	124021714
NC_007577	Prochlorococcus marinus str. MIT 9312	chr	78778385
NC_005071	Prochlorococcus marinus str. MIT 9313	chr	33862273
NC_008817	Prochlorococcus marinus str. MIT 9515	chr	123965234
NC_008819	Prochlorococcus marinus str. NATL1A	chr	124024712
NC_007335	Prochlorococcus marinus str. NATL2A	chr	162958048
NC_005042	Prochlorococcus marinus subsp. marinus str. CCMP1375	chr	33239452
NC_005072	Prochlorococcus marinus subsp. pastoris str. CCMP1986	chr	33860560
NC_019701	Pseudanabaena sp. PCC 7367	chr	428216284
NC_019690	Pseudanabaena sp. PCC 7367	pPSE7367.01	428219846
NC_019678	Rivularia sp. PCC 7116	chr	427733619
NC_019679	Rivularia sp. PCC 7116	pRIV7116.01	427740400
NC_019686	Rivularia sp. PCC 7116	pRIV7116.02	427740454
NC_019748	Stanieria cyanosphaera PCC 7437	chr	434396591
NC_019749	Stanieria cyanosphaera PCC 7437	pSTA7437.02	434401063
NC_019750	Stanieria cyanosphaera PCC 7437	pSTA7437.03	434401190
NC_019765	Stanieria cyanosphaera PCC 7437	pSTA7437.01	434408264
NC_019766	Stanieria cyanosphaera PCC 7437	pSTA7437.05	434408556
NC_020052	Stanieria cyanosphaera PCC 7437	pSTA7437.04	436736068
NC_006576	Synechococcus elongatus PCC 6301	chr	56750010
NC_007595	Synechococcus elongatus PCC 7942	plasmid 1	81230333
NC_007604	Synechococcus elongatus PCC 7942	chr	81298811
NC_008319	Synechococcus sp. CC9311	chr	113952711
NC_007516	Synechococcus sp. CC9605	chr	78211558
NC_007513	Synechococcus sp. CC9902	chr	78183584
NC_007776	Synechococcus sp. JA-2-3B'a(2-13)	chr	86607503
NC_007775	Synechococcus sp. JA-3-3Ab	chr	86604733
NC_019680	Synechococcus sp. PCC 6312	chr	427711179
NC_019681	Synechococcus sp. PCC 6312	pSYN6312.01	427714745
NC_010474	Synechococcus sp. PCC 7002	pAQ7	170076470
NC_010475	Synechococcus sp. PCC 7002	chr	170076636
NC_010476	Synechococcus sp. PCC 7002	pAQ1	170079460
NC_010477	Synechococcus sp. PCC 7002	pAQ3	170079464
NC_010478	Synechococcus sp. PCC 7002	pAQ4	170079482
NC_010479	Synechococcus sp. PCC 7002	pAQ5	170079513
NC_010480	Synechococcus sp. PCC 7002	pAQ6	170079553
NC_019702	Synechococcus sp. PCC 7502	chr	428220140
NC_019691	Synechococcus sp. PCC 7502	pSYN7502.01	428223389
NC_019692	Synechococcus sp. PCC 7502	pSYN7502.02	428223448
NC_009482	Synechococcus sp. RCC307	chr	148241099
NC_009481	Synechococcus sp. WH 7803	chr	148238336
NC_005070	Synechococcus sp. WH 8109	chr	33864539
NC_000911	Synechocystis sp. PCC 6803	chr	16329170
NC_005229	Synechocystis sp. PCC 6803	PsysM	38505535
NC_005230	Synechocystis sp. PCC 6803	pSYSA	38505668
NC_005231	Synechocystis sp. PCC 6803	PsysG	38505775
NC_005232	Synechocystis sp. PCC 6803	PsysX	38505825
NC_017277	Synechocystis sp. PCC 6803	chr	384435229
NC_020286	Synechocystis sp. PCC 6803	chr	451813329
NC_020288	Synechocystis sp. PCC 6803	pSYSG_M	451816489
NC_020289	Synechocystis sp. PCC 6803	pCA2.4_M	451816539
NC_020296	Synechocystis sp. PCC 6803	pSYSM_M	451816542
NC_020287	Synechocystis sp. PCC 6803	pSYSA_M	451816673
NC_020298	Synechocystis sp. PCC 6803	pCB2.4_M	451816777
NC_020290	Synechocystis sp. PCC 6803	pCC5.2_M	451816781
NC_020297	Synechocystis sp. PCC 6803	pSYSX_M	451816787
NC_017052	Synechocystis sp. PCC 6803 substr. GT-I	chr	383489963
NC_017039	Synechocystis sp. PCC 6803 substr. PCC-N	chr	383324079
NC_017038	Synechocystis sp. PCC 6803 substr. PCC-P	chr	383320909
NC_004113	Thermosynechococcus elongatus BP-1	chr	22297544
NC_023033	Thermosynechococcus sp. NK55	chr	571026788
NC_008312	Trichodesmium erythraeum IMS101	chr	113473942
