id	gene	start	end	strand	name	cat	clr
slr1118	gene	67606	68361	+	probable UDP-N-acetyl-D-mannosaminuronic acid transferase	Cell envelope	#fa8072
sll1063	gene	68400	69059	-	hypothetical protein	hypothetical protein	#9966CC
slr1119	gene	69284	69985	+	hypothetical protein	hypothetical protein	#9966CC
sll1062	gene	70016	70393	-	unknown protein	unknown	#CC9999
sll1061	gene	70420	70935	-	unknown protein	unknown	#CC9999
sll1060	gene	70944	73973	-	hypothetical protein	hypothetical protein	#9966CC
ssl2069	gene	73978	74229	-	hypothetical protein	hypothetical protein	#9966CC
ssr1853	gene	74498	74785	+	unknown protein	unknown	#CC9999
slr1120	gene	74995	75804	+	type 4 prepilin-like proteins leader peptide processing enzyme	Cellular processes	#ffff00
sll1059	gene	75955	76500	-	adenylate kinase	Purines, pyrimidines, nucleosides, and nucleotides	#9932cc
sll1058	gene	76580	77407	-	dihydrodipicolinate reductase	Amino acid biosynthesis	#a52a2a
sll1057	gene	77494	77874	-	thioredoxin M	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
ssl2065	gene	77980	78246	-	unknown protein	unknown	#CC9999
ssl2064	gene	78206	78445	-	hypothetical protein	hypothetical protein	#9966CC
sll1056	gene	78467	80773	-	phosphoribosylformyl glycinamidine synthetase II	Purines, pyrimidines, nucleosides, and nucleotides	#9932cc
slr1122	gene	80938	81690	+	hypothetical protein	hypothetical protein	#9966CC
sll1054	gene	81696	82259	-	hypothetical protein	hypothetical protein	#9966CC
sll1053	gene	82291	83853	-	hypothetical protein	hypothetical protein	#9966CC
slr1123	gene	84122	84697	+	guanylate kinase	Purines, pyrimidines, nucleosides, and nucleotides	#9932cc
slr1124	gene	84776	86107	+	phosphoglycerate mutase	Energy metabolism	#ff0000
slr1125	gene	86210	87418	+	probable glucosyl transferase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
sll1052	gene	87536	87910	-	hypothetical protein	hypothetical protein	#9966CC
sll1051	gene	88017	88661	-	phycocyanin alpha-subunit phycocyanobilin lyase	Photosynthesis and respiration	#6b8e23
sll1049	gene	88818	90512	-	hypothetical protein	hypothetical protein	#9966CC
slr1127	gene	90620	91411	+	unknown protein	unknown	#CC9999
slr1128	gene	91517	92482	+	hypothetical protein	hypothetical protein	#9966CC
slr1129	gene	93128	95152	+	ribonuclease E	Transcription	#8470ff
slr1130	gene	95236	95808	+	ribonuclease HII	Transcription	#8470ff
sll1045	gene	95818	96228	-	mutator MutT protein	Not curated completely	#9900CC
sll1043	gene	96325	98481	-	polyribonucleotide nucleotidyltransferase	Transcription	#8470ff
sll0716	gene	98609	99199	-	leader peptidase I (signal peptidase I)	Cellular processes	#ffff00
slr0721	gene	99402	100793	+	malic enzyme	Energy metabolism	#ff0000
sll0712	gene	100794	101771	-	cysteine synthase	Amino acid biosynthesis	#a52a2a
sll0711	gene	101884	102831	-	isopentenyl monophosphate kinase	Other categories	#000000
sll0710	gene	102930	105110	-	unknown protein	unknown	#CC9999
sll0709	gene	105151	106539	-	putative endonuclease	Putative	#CC99FF
smr0012	gene	107017	107208	+	putative transposase [ISY523j(partial copy)	Putative	#CC99FF
sll0708	gene	107471	108325	-	dimethyladenosine transferase	Other categories	#000000
slr0722	gene	108479	109201	+	hypothetical protein	hypothetical protein	#9966CC
slr0723	gene	109222	110313	+	hypothetical protein	hypothetical protein	#9966CC
slr0724	gene	110392	110724	+	HtaR suppressor protein homolog	Regulatory functions	#ffd700
slr0725	gene	110808	111224	+	hypothetical protein	hypothetical protein	#9966CC
slr0727	gene	111585	112559	+	unknown protein	unknown	#CC9999
slr0728	gene	113112	114188	+	hypothetical protein	hypothetical protein	#9966CC
slr0729	gene	114319	114624	+	hypothetical protein	hypothetical protein	#9966CC
slr0730	gene	114874	115272	+	hypothetical protein	hypothetical protein	#9966CC
slr0731	gene	115269	116477	+	hypothetical protein	hypothetical protein	#9966CC
sll0704	gene	116518	117693	-	cysteine desulfurase	Amino acid biosynthesis	#a52a2a
slr0732	gene	117869	118336	+	hypothetical protein	hypothetical protein	#9966CC
sll0703	gene	118333	119532	-	unknown protein	unknown	#CC9999
sll0702	gene	119570	119962	-	unknown protein	unknown	#CC9999
ssl1328	gene	120298	120537	-	hypothetical protein	hypothetical protein	#9966CC
slr0733	gene	120719	121660	+	integrase-recombinase protein	Not curated completely	#9900CC
ssl1326	gene	121706	121963	-	unknown protein	unknown	#CC9999
slr0734	gene	122287	123405	+	hypothetical protein	hypothetical protein	#9966CC
sll0700	gene	123501	123995	-	putative transposase [ISY100i	Putative	#CC99FF
sll0699	gene	123989	124348	-	putative transposase [ISY100i	Putative	#CC99FF
sll0698	gene	124452	126443	-	drug sensory protein A, low temperature sensor, two-component sensor histidine kinase	Other categories	#000000
slr0737	gene	126639	127064	+	photosystem I subunit II	Photosynthesis and respiration	#6b8e23
slr0738	gene	127186	128712	+	anthranilate synthetase alpha-subunit	Amino acid biosynthesis	#a52a2a
slr0739	gene	128802	129710	+	geranylgeranyl pyrophosphate synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr0740	gene	129791	130186	+	hypothetical protein	hypothetical protein	#9966CC
sll0696	gene	130167	131039	-	hypothetical protein	hypothetical protein	#9966CC
slr0741	gene	131116	131790	+	transcriptional regulator	Regulatory functions	#ffd700
slr0742	gene	131877	132407	+	hypothetical protein	hypothetical protein	#9966CC
slr0743	gene	132483	133859	+	similar to N utilization substance protein	Transcription	#8470ff
ssr1238	gene	133923	134177	+	hypothetical protein	hypothetical protein	#9966CC
slr0744	gene	134437	137442	+	translation initiation factor IF-2	Translation	#00bfff
slr0236	gene	137444	138112	+	similar to glutathione S-transferase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
ssl0431	gene	138145	138339	-	unknown protein	unknown	#CC9999
slr0237	gene	138295	140535	+	glycogen operon protein GlgX homolog	Central intermediary metabolism	#006400
slr0238	gene	140585	141007	+	hypothetical protein	hypothetical protein	#9966CC
ssl0426	gene	141123	141416	-	putative transposase [ISY100t(partial copy)	Putative	#CC99FF
slr0239	gene	141648	142442	+	precorrin-4 C11-methyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr0240	gene	142559	142981	+	transcriptional regulator	Regulatory functions	#ffd700
slr0241	gene	142981	143826	+	hypothetical protein	hypothetical protein	#9966CC
slr0242	gene	144061	144543	+	bacterioferritin comigratory protein homolog	Transport and binding proteins	#00ff00
slr0243	gene	144554	145081	+	hypothetical protein	hypothetical protein	#9966CC
sll0230	gene	145164	145469	-	hypothetical protein	hypothetical protein	#9966CC
slr0244	gene	145761	146615	+	hypothetical protein	hypothetical protein	#9966CC
sml0003	gene	146724	146831	-	photosystem II reaction center M protein	Photosynthesis and respiration	#6b8e23
slr0245	gene	146980	147894	+	Histone deacetylase family protein	Other categories	#000000
sll0228	gene	148022	148942	-	arginase	Energy metabolism	#ff0000
sll0227	gene	148943	149683	-	peptidyl-prolyl cis-trans isomerase B, periplasmic protein	Translation	#00bfff
sll0226	gene	149889	150455	-	photosystem I assembly related protein	Photosynthesis and respiration	#6b8e23
sll0225	gene	150594	152132	-	unknown protein	unknown	#CC9999
sll0224	gene	152154	153050	-	amino-acid ABC transporter binding protein	Transport and binding proteins	#00ff00
slr0249	gene	153622	153996	+	hypothetical protein	hypothetical protein	#9966CC
slr0250	gene	154143	154679	+	hypothetical protein	hypothetical protein	#9966CC
slr0251	gene	154703	155461	+	ATP-binding protein of ABC transporter	Transport and binding proteins	#00ff00
slr0252	gene	155473	156258	+	probable precorrin-6x reductase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
ssr0390	gene	156391	156651	+	photosystem I reaction center subunit X	Photosynthesis and respiration	#6b8e23
ssl0410	gene	156741	157013	-	unknown protein	unknown	#CC9999
sll0223	gene	157050	158615	-	NADH dehydrogenase subunit 2	Photosynthesis and respiration	#6b8e23
sll0222	gene	158757	159737	-	putative purple acid phosphatase	Other categories	#000000
sgl0002	gene	159812	159961	-	hypothetical protein	hypothetical protein	#9966CC
sml0004	gene	160004	160093	-	cytochrome b6-f complex subunit VIII	Photosynthesis and respiration	#6b8e23
slr0254	gene	160258	161058	+	hypothetical protein	hypothetical protein	#9966CC
sll0221	gene	161088	161642	-	bacterioferritin comigratory protein	Transport and binding proteins	#00ff00
sll0220	gene	161768	163663	-	L-glutamine	Not curated completely	#9900CC
sll0219	gene	164037	165821	-	flavoprotein	Other categories	#000000
sll0218	gene	165871	166389	-	hypothetical protein	hypothetical protein	#9966CC
sll0217	gene	166416	168152	-	flavoprotein	Other categories	#000000
slr0257	gene	168533	169921	+	periplasmic carboxyl-terminal protease	Translation	#00bfff
sll0216	gene	169934	170566	-	hypothetical protein	hypothetical protein	#9966CC
slr1411	gene	170572	171840	+	hypothetical protein	hypothetical protein	#9966CC
sll1327	gene	171939	172883	-	ATP synthase gamma chain	Photosynthesis and respiration	#6b8e23
sll1326	gene	173014	174525	-	ATP synthase alpha chain	Photosynthesis and respiration	#6b8e23
sll1325	gene	174586	175143	-	ATP synthase delta chain of CF(1)	Photosynthesis and respiration	#6b8e23
sll1324	gene	175143	175682	-	ATP synthase B chain (subunit I) of CF(0)	Photosynthesis and respiration	#6b8e23
sll1323	gene	175708	176139	-	ATP synthase subunit b' of CF(0)	Photosynthesis and respiration	#6b8e23
ssl2615	gene	176256	176501	-	ATP synthase C chain of CF(0)	Photosynthesis and respiration	#6b8e23
sll1322	gene	176693	177439	-	ATP synthase A chain of CF(0)	Photosynthesis and respiration	#6b8e23
sll1321	gene	177592	177945	-	hypothetical protein	Photosynthesis and respiration	#6b8e23
slr1413	gene	178237	179682	+	hypothetical protein	hypothetical protein	#9966CC
slr1414	gene	179968	181047	+	two-component sensor histidine kinase	Regulatory functions	#ffd700
slr1415	gene	181073	182221	+	hypothetical protein	hypothetical protein	#9966CC
slr1416	gene	182405	183298	+	similar to MorR protein	Regulatory functions	#ffd700
slr1417	gene	183493	183849	+	hypothetical protein YCF57	hypothetical protein	#9966CC
sll1319	gene	183935	184924	-	hypothetical protein	hypothetical protein	#9966CC
sll1318	gene	184968	185636	-	hypothetical protein	hypothetical protein	#9966CC
sll1041	gene	185772	186554	-	similar to sulfate transport ATP-binding protein CysA	Transport and binding proteins	#00ff00
sll1040	gene	186601	188898	-	unknown protein	unknown	#CC9999
slr1093	gene	189128	189715	+	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1094	gene	190033	190818	+	hypothetical protein	hypothetical protein	#9966CC
sll1039	gene	190815	191819	-	hypothetical protein	hypothetical protein	#9966CC
slr1095	gene	192136	192783	+	hypothetical protein	hypothetical protein	#9966CC
slr1096	gene	192882	194306	+	dihydrolipoamide dehydrogenase	Energy metabolism	#ff0000
slr1097	gene	194310	194801	+	hypothetical protein	hypothetical protein	#9966CC
slr1098	gene	194859	195617	+	hypothetical protein	hypothetical protein	#9966CC
slr1099	gene	195685	196305	+	3-octaprenyl-4-hydroxybenzoate carboxy-lyase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1100	gene	196611	196991	+	hypothetical protein	hypothetical protein	#9966CC
slr1101	gene	197072	197557	+	hypothetical protein	hypothetical protein	#9966CC
slr1102	gene	197624	200185	+	hypothetical protein	hypothetical protein	#9966CC
slr1103	gene	200405	202525	+	hypothetical protein	hypothetical protein	#9966CC
slr1104	gene	202554	204395	+	hypothetical protein	hypothetical protein	#9966CC
slr1105	gene	204721	206397	+	GTP-binding protein TypA/BipA homolog	Translation	#00bfff
sll1037	gene	206863	208338	-	unknown protein	unknown	#CC9999
sll1036	gene	208549	209427	-	hypothetical protein	hypothetical protein	#9966CC
ssl2009	gene	209527	209826	-	hypothetical protein	hypothetical protein	#9966CC
sll1035	gene	209896	210546	-	uracil phosphoribosyltransferase	Purines, pyrimidines, nucleosides, and nucleotides	#9932cc
slr1106	gene	210781	211629	+	prohibitin	Other categories	#000000
slr1107	gene	211734	213068	+	unknown protein	unknown	#CC9999
sll1033	gene	213031	215037	-	probable protein phosphatase	Other categories	#000000
sll1032	gene	215504	216229	-	carbon dioxide concentrating mechanism protein CcmN, putative carboxysome assembly protein	Other categories	#000000
sll1031	gene	216264	218327	-	carbon dioxide concentrating mechanism protein CcmM, putative carboxysome structural protein	Photosynthesis and respiration	#6b8e23
sll1030	gene	218407	218709	-	carbon dioxide concentrating mechanism protein CcmL, putative carboxysome assembly protein	Photosynthesis and respiration	#6b8e23
sll1029	gene	218742	219077	-	carbon dioxide concentrating mechanism protein CcmK	Photosynthesis and respiration	#6b8e23
sll1028	gene	219206	219517	-	carbon dioxide concentrating mechanism protein CcmK	Photosynthesis and respiration	#6b8e23
sll1027	gene	219979	221463	-	NADH-dependent glutamate synthase small subunit	Amino acid biosynthesis	#a52a2a
slr1109	gene	221742	223067	+	similar to ankyrin	Other categories	#000000
slr1110	gene	223018	223596	+	hypothetical protein	hypothetical protein	#9966CC
slr1772	gene	223673	224806	+	probable hydrolase, periplasmic protein	Other categories	#000000
sll1686	gene	224897	226363	-	hypothetical protein	hypothetical protein	#9966CC
ssr2972	gene	226928	227098	+	unknown protein	unknown	#CC9999
slr1773	gene	227123	227899	+	unknown protein	unknown	#CC9999
slr1774	gene	227943	228812	+	unknown protein	unknown	#CC9999
slr1776	gene	228866	230566	+	high affinity sulfate transporter	Transport and binding proteins	#00ff00
sll1685	gene	230658	231839	-	protein involved in light-induced Na+-dependent proton extrusion	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1777	gene	232008	234038	+	magnesium protoporphyrin IX chelatase subunit D	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
ssr2975	gene	234120	234308	+	unknown protein	unknown	#CC9999
slr1778	gene	234305	234838	+	unknown protein	unknown	#CC9999
sll1683	gene	234905	236356	-	lysine decarboxylase	Energy metabolism	#ff0000
sll1682	gene	236356	237438	-	alanine dehydrogenase	Energy metabolism	#ff0000
slr1779	gene	237600	238325	+	pyridoxal phosphate biosynthetic protein PdxJ	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1780	gene	238425	238745	+	hypothetical protein YCF54	hypothetical protein	#9966CC
sll1681	gene	238804	240327	-	unknown protein	unknown	#CC9999
sll1680	gene	240299	240829	-	hypothetical protein	hypothetical protein	#9966CC
sll1679	gene	240863	242047	-	periplasmic protease HhoA	Translation	#00bfff
slr1783	gene	242246	243094	+	two-component response regulator NarL subfamily	Regulatory functions	#ffd700
slr1784	gene	243158	244144	+	biliverdin reductase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
sll1678	gene	244160	244708	-	similar to spore maturation protein A	Other categories	#000000
sll1677	gene	244783	245394	-	similar to spore maturation protein B	Other categories	#000000
sll1676	gene	245502	247019	-	4-alpha-glucanotransferase	Central intermediary metabolism	#006400
sll1675	gene	247117	247569	-	hypothetical protein	hypothetical protein	#9966CC
slr1787	gene	247670	248713	+	thiamine-monophosphate kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1788	gene	249062	250117	+	unknown protein	unknown	#CC9999
slr1789	gene	250160	251641	+	unknown protein	unknown	#CC9999
sll1673	gene	251758	253116	-	two-component response regulator	Regulatory functions	#ffd700
sll1672	gene	253125	255629	-	two-component hybrid sensor and regulator	Regulatory functions	#ffd700
sll1671	gene	255823	256305	-	hypothetical protein	hypothetical protein	#9966CC
slr1790	gene	256698	257279	+	hypothetical protein	hypothetical protein	#9966CC
slr1791	gene	257426	258175	+	phosphoadenosine phosphosulfate reductase	Amino acid biosynthesis	#a52a2a
sll1670	gene	258227	259363	-	heat-inducible transcription repressor HrcA homolog	Regulatory functions	#ffd700
sll1669	gene	259702	260271	-	shikimate kinase	Amino acid biosynthesis	#a52a2a
slr1793	gene	260502	261638	+	transaldolase	Energy metabolism	#ff0000
ssr2998	gene	261863	262060	+	hypothetical protein	hypothetical protein	#9966CC
slr1794	gene	262177	263265	+	probable anion transporting ATPase	Transport and binding proteins	#00ff00
slr1795	gene	263321	263965	+	peptide methionine sulfoxide reductase	Translation	#00bfff
ssr3000	gene	264190	264477	+	hypothetical protein	hypothetical protein	#9966CC
sll1667	gene	264516	265316	-	periplasmic protein, similar to mitochondrial outer membrane 72K protein	Not curated completely	#9900CC
sll1666	gene	265414	265893	-	DnaJ-like protein	Cellular processes	#ffff00
slr1796	gene	265995	266600	+	hypothetical protein	hypothetical protein	#9966CC
sll1665	gene	266702	268471	-	unknown protein	unknown	#CC9999
sll1664	gene	268789	269727	-	probable glycosyl transferase	Other categories	#000000
sll1663	gene	269773	270435	-	phycocyanin alpha phycocyanobilin lyase related protein	Photosynthesis and respiration	#6b8e23
sll1662	gene	270476	271369	-	probable prephenate dehydratase	Amino acid biosynthesis	#a52a2a
slr1798	gene	271600	273357	+	unknown protein	unknown	#CC9999
ssl3222	gene	273522	273767	-	unknown protein	unknown	#CC9999
sll1660	gene	273802	274386	-	hypothetical protein	hypothetical protein	#9966CC
sll1659	gene	274502	275680	-	hypothetical protein	hypothetical protein	#9966CC
sll1658	gene	275807	276283	-	hypothetical protein	hypothetical protein	#9966CC
slr1799	gene	276429	278342	+	hypothetical protein	hypothetical protein	#9966CC
slr1800	gene	278494	279561	+	hypothetical protein	hypothetical protein	#9966CC
sll1656	gene	279512	280087	-	hypothetical protein	hypothetical protein	#9966CC
sll1655	gene	280127	280951	-	similar to biotin [acetyl-CoA-carboxylase] ligase	Fatty acid, phospholipid and sterol metabolism	#008b8b
sll1654	gene	280970	281380	-	hypothetical protein	hypothetical protein	#9966CC
sll1653	gene	281507	282223	-	2-phytyl-1,4-benzoquinone methyltransferase	Other categories	#000000
sll1652	gene	282290	282541	-	hypothetical protein	hypothetical protein	#9966CC
sll1651	gene	282510	282821	-	hypothetical protein	hypothetical protein	#9966CC
slr1289	gene	283060	284487	+	isocitrate dehydrogenase (NADP+)	Energy metabolism	#ff0000
slr1290	gene	284508	285080	+	hypothetical protein	hypothetical protein	#9966CC
sll1201	gene	285144	285938	-	hypothetical protein	hypothetical protein	#9966CC
slr1291	gene	286164	287843	+	NADH dehydrogenase subunit 4	Photosynthesis and respiration	#6b8e23
sll1200	gene	287929	289104	-	hypothetical protein	hypothetical protein	#9966CC
slr1293	gene	289322	290845	+	similar to phytoene dehydrogenase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
ssr2142	gene	290902	291174	+	hypothetical protein YCF19	hypothetical protein	#9966CC
slr1295	gene	291626	292708	+	iron transport system substrate-binding protein	Transport and binding proteins	#00ff00
sll1198	gene	292790	293485	-	tRNA (guanine-N1)-methyltransferase	Translation	#00bfff
ssl2384	gene	293496	293669	-	unknown protein	unknown	#CC9999
sll1196	gene	293878	294963	-	phosphofructokinase	Energy metabolism	#ff0000
slr1298	gene	295076	297343	+	unknown protein	unknown	#CC9999
ssl2380	gene	297324	297521	-	unknown protein	unknown	#CC9999
sll1194	gene	297493	297888	-	photosystem II 12 kDa extrinsic protein	Photosynthesis and respiration	#6b8e23
sll1193	gene	298083	298580	-	hypothetical protein	hypothetical protein	#9966CC
slr1299	gene	299522	300883	+	UDP-glucose dehydrogenase	Energy metabolism	#ff0000
slr1300	gene	301110	302354	+	similar to 2-octaprenyl-6-methoxyphenol hydroxylase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
sll1192	gene	302367	302789	-	hypothetical protein	hypothetical protein	#9966CC
sll1191	gene	302786	303097	-	hypothetical protein	hypothetical protein	#9966CC
ssr2153	gene	303424	303621	+	unknown protein	unknown	#CC9999
slr1301	gene	303939	305546	+	hypothetical protein	hypothetical protein	#9966CC
slr1302	gene	305676	306824	+	protein involved in constitutive low affinity CO2 uptake	Other categories	#000000
slr1303	gene	306844	308076	+	hypothetical protein	hypothetical protein	#9966CC
sll1189	gene	308114	309418	-	glycolate oxidase subunit GlcE	Energy metabolism	#ff0000
slr1305	gene	309649	312171	+	two-component response regulator	Regulatory functions	#ffd700
slr1306	gene	312258	313715	+	hypothetical protein	hypothetical protein	#9966CC
sll1188	gene	313705	314199	-	hypothetical protein	hypothetical protein	#9966CC
sll1187	gene	314255	315106	-	prolipoprotein diacylglyceryl transferase	Cell envelope	#fa8072
sll1186	gene	315134	315784	-	hypothetical protein	hypothetical protein	#9966CC
sll1185	gene	315882	316904	-	coproporphyrinogen III oxidase, aerobic (oxygen-dependent)	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
sll1184	gene	317127	317849	-	heme oxygenase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr1307	gene	317984	318571	+	hypothetical protein	hypothetical protein	#9966CC
ssr1604	gene	318661	318897	+	50S ribosomal protein L28	Translation	#00bfff
slr0962	gene	319096	320529	+	unknown protein	unknown	#CC9999
sll0943	gene	320785	321447	-	unknown protein	unknown	#CC9999
slr0963	gene	321699	323606	+	ferredoxin-sulfite reductase	Amino acid biosynthesis	#a52a2a
slr0964	gene	323805	324731	+	hypothetical protein	hypothetical protein	#9966CC
slr0965	gene	324831	326006	+	DNA polymerase III beta subunit	Not curated completely	#9900CC
slr0966	gene	326150	326944	+	tryptophan synthase alpha chain	Amino acid biosynthesis	#a52a2a
slr0967	gene	327100	327552	+	hypothetical protein	hypothetical protein	#9966CC
sll0939	gene	327604	327981	-	hypothetical protein	hypothetical protein	#9966CC
sll0938	gene	328006	329181	-	aspartate transaminase	Energy metabolism	#ff0000
ssl1792	gene	329222	329521	-	hypothetical protein	hypothetical protein	#9966CC
sll0936	gene	329555	331060	-	putative oxidoreductase	Other categories	#000000
slr0969	gene	331144	333027	+	precorrin methylase	Biosynthesis of cofactors, prosthetic groups, and carriers	#ff00ff
slr0971	gene	333130	334485	+	hypothetical protein	hypothetical protein	#9966CC
sll0934	gene	334568	335623	-	carboxysome formation protein CcmA	Photosynthesis and respiration	#6b8e23
sll0933	gene	335819	336295	-	hypothetical protein	hypothetical protein	#9966CC
ssl1784	gene	336313	336582	-	30S ribosomal protein S15	Translation	#00bfff
sll0932	gene	336747	337760	-	hypothetical protein	hypothetical protein	#9966CC
sll0931	gene	337861	338331	-	hypothetical protein	hypothetical protein	#9966CC
sll0930	gene	338503	339096	-	unknown protein	unknown	#CC9999
sll0928	gene	339140	339625	-	allophycocyanin-B	Photosynthesis and respiration	#6b8e23
sll0927	gene	339737	340966	-	S-adenosylmethionine synthetase	Translation	#00bfff
sll0926	gene	341135	342139	-	hypothetical protein	hypothetical protein	#9966CC
sll0925	gene	342151	342759	-	hypothetical protein	hypothetical protein	#9966CC
slr0974	gene	343026	343559	+	initiation factor IF-3	Translation	#00bfff
slr0975	gene	343863	344720	+	hypothetical protein	hypothetical protein	#9966CC
sll0924	gene	344744	345298	-	hypothetical protein	hypothetical protein	#9966CC
