id	count	start	end	strand	genes	condition	uef	name
TU57	5	60507	66040	+	slr1113, slr1114, slr1115, slr1116, slr1117	N	1.11	ATP-binding protein of ABC transporter , hypothetical protein , probable methyltransferase , hypothetical protein , hypothetical protein
TU58	0	61012	60913	-	NA	exp. P.	1.11	NA
TU57	0	61012	60913	-	slr1113, slr1114, slr1115, slr1116, slr1117	exp. P.	1.11	NA
TU59	0	65822	65619	-	NA	15C	1.32	NA
TU57	0	65822	65619	-	slr1113, slr1114, slr1115, slr1116, slr1117	15C	1.32	NA
TU60	0	66367	66468	+	NA	P	1.09	NA
NA	0	66367	66468	+	sll1064	P	1.09	NA
NA	1	67579	67629	+	NA	15C	1.36	UDPN-acetyl-D-mannosaminuronic acid transferase
TU61	1	67579	67629	+	slr1118	15C	1.36	UDPN-acetyl-D-mannosaminuronic acid transferase
TU62	0	67923	67637	-	NA	P	1.01	NA
NA	0	67923	67637	-	slr1118	P	1.01	NA
NA	1	69092	68700	-	NA	15C	2.08	hypothetical protein
TU63	1	69092	68700	-	sll1063	15C	2.08	hypothetical protein
NA	0	69123	69218	+	NA	N	1.03	NA
TU64	0	69123	69218	+	NA	N	1.03	NA
TU66, TU67	1	69219	70482	+	sll1061, sll1062	15C	6.2	hypothetical protein
TU65	1	69219	70482	+	slr1119	15C	6.2	hypothetical protein
TU66	0	69887	69545	-	NA	15C	1.07	NA
TU65	0	69887	69545	-	slr1119	15C	1.07	NA
TU68	0	70483	70601	+	NA	N	4.6	NA
TU67	0	70483	70601	+	sll1061, sll1062	N	4.6	NA
TU67	2	71717	69971	-	sll1061, sll1062	N	4.44	unknown protein , unknown protein
TU65, TU68	2	71717	69971	-	slr1119	N	4.44	unknown protein , unknown protein
NA	2	74317	72909	-	NA	P	1.21	hypothetical protein , hypothetical protein
TU69	2	74317	72909	-	ssl2069, sll1060	P	1.21	hypothetical protein , hypothetical protein
NA	1	74437	74844	+	NA	Fe	2.26	unknown protein
TU70	1	74437	74844	+	ssr1853	Fe	2.26	unknown protein
NA	1	74845	75628	+	NA	N	1.46	type 4 prepilin peptidase
TU71	1	74845	75628	+	slr1120	N	1.46	type 4 prepilin peptidase
NA	2	77446	76132	-	NA	exp. P.	1.17	dihydrodipicolinate reductase , adenylate kinase
TU72	2	77446	76132	-	sll1058, sll1059	exp. P.	1.17	dihydrodipicolinate reductase , adenylate kinase
NA	1	77854	77447	-	NA	P	1.19	thioredoxin
TU73	1	77854	77447	-	sll1057	P	1.19	thioredoxin
NA	2	78465	77884	-	NA	exp. P.	1.02	hypothetical protein , unknown protein
TU74	2	78465	77884	-	ssl2064, ssl2065	exp. P.	1.02	hypothetical protein , unknown protein
TU76	0	80408	80507	+	NA	15C	1.24	NA
TU75	0	80408	80507	+	sll1056	15C	1.24	NA
TU76	1	80803	78466	-	NA	15C	1.22	phosphoribosylformylglycinamidine synthase II
TU75	1	80803	78466	-	sll1056	15C	1.22	phosphoribosylformylglycinamidine synthase II
TU78	1	80869	81809	+	sll1053, sll1054	N	1.05	hypothetical protein
TU77	1	80869	81809	+	slr1122	N	1.05	hypothetical protein
TU78	2	83914	81377	-	sll1053, sll1054	N	4.52	hypothetical protein , hypothetical protein
TU77	2	83914	81377	-	slr1122	N	4.52	hypothetical protein , hypothetical protein
NA	0	84077	83977	-	NA	P	26.12	NA
TU79	0	84077	83977	-	NA	P	26.12	NA
TU81	2	84749	86486	+	NA	exp. P.	1.33	phosphoglycerate mutase , probable glucosyl transferase
TU80	2	84749	86486	+	slr1124, slr1125	exp. P.	1.33	phosphoglycerate mutase , probable glucosyl transferase
TU81	0	85144	85053	-	NA	HL	2.23	NA
TU80	0	85144	85053	-	slr1124, slr1125	HL	2.23	NA
NA	2	88691	87655	-	NA	HL	1.31	phycocyanin alpha-subunit phycocyanobilin lyase , hypothetical protein
TU82	2	88691	87655	-	sll1051, sll1052	HL	1.31	phycocyanin alpha-subunit phycocyanobilin lyase , hypothetical protein
NA	1	90538	88692	-	NA	N	3.54	hypothetical protein
TU83	1	90538	88692	-	sll1049	N	3.54	hypothetical protein
TU85, TU86	2	90628	92544	+	NA	Dark	1.17	unknown protein , hypothetical protein
TU84	2	90628	92544	+	slr1127, slr1128	Dark	1.17	unknown protein , hypothetical protein
TU85	0	91992	91088	-	NA	N	1.4	NA
TU84	0	91992	91088	-	slr1127, slr1128	N	1.4	NA
TU86	0	92533	92094	-	NA	15C	1.72	NA
TU84	0	92533	92094	-	slr1127, slr1128	15C	1.72	NA
TU88, TU89	2	92545	95703	+	ncl0020	HL	1.32	ncRNA, ribonuclease E , ribonuclease HII
TU87	2	92545	95703	+	ncr0020, slr1129, slr1130	HL	1.32	ncRNA, ribonuclease E , ribonuclease HII
TU88	0	93037	92705	-	ncl0020	15C	1.3	NA
TU87	0	93037	92705	-	ncr0020, slr1129, slr1130	15C	1.3	NA
TU89	0	95703	95608	-	NA	N	1.48	NA
TU87	0	95703	95608	-	ncr0020, slr1129, slr1130	N	1.48	NA
TU91	0	97609	97708	+	NA	N	1.09	NA
TU90	0	97609	97708	+	sll1043	N	1.09	NA
TU92	0	98011	98608	+	NA	P	1.01	NA
TU90	0	98011	98608	+	sll1043	P	1.01	NA
TU91, TU92	1	98521	96256	-	NA	15C	1.51	polynucleotide phosphorylase
TU90	1	98521	96256	-	sll1043	15C	1.51	polynucleotide phosphorylase
TU94	0	99245	99332	+	NA	Fe	1.44	NA
TU93	0	99245	99332	+	sll0716	Fe	1.44	NA
TU94	1	99312	98705	-	NA	P	1.21	leader peptidase I
TU93	1	99312	98705	-	sll0716	P	1.21	leader peptidase I
TU96	1	99333	101034	+	sll0712	N	1.97	malic enzyme
TU95	1	99333	101034	+	slr0721	N	1.97	malic enzyme
TU96	1	101814	100230	-	sll0712	15C	1.12	cysteine synthase A
TU95	1	101814	100230	-	slr0721	15C	1.12	cysteine synthase A
TU98	0	104817	104914	+	NA	15C	4.98	NA
TU97	0	104817	104914	+	sll0709, sll0710, sll0711	15C	4.98	NA
TU98	3	106652	101815	-	NA	HL	1.23	putative endonuclease , unknown protein , isopentenyl monophosphate kinase
TU97	3	106652	101815	-	sll0709, sll0710, sll0711	HL	1.23	putative endonuclease , unknown protein , isopentenyl monophosphate kinase
NA	0	106808	106653	-	ncr0030	P	1.29	NA
TU99	0	106808	106653	-	SyR8	P	1.29	NA
TU101	0	108278	108396	+	NA	15C	2.05	NA
TU100	0	108278	108396	+	sll0708	15C	2.05	NA
TU100	1	108373	107182	-	sll0708	HL	1.11	dimethyladenosine transferase
TU101	1	108373	107182	-	smr0012, ncr0040	HL	1.11	dimethyladenosine transferase
NA	1	108397	108613	+	NA	N	1.12	hypothetical protein
TU102	1	108397	108613	+	slr0722	N	1.12	hypothetical protein
NA	1	108840	110365	+	NA	N	1.76	hypothetical protein
TU103	1	108840	110365	+	slr0723	N	1.76	hypothetical protein
NA	3	110366	112839	+	NA	exp. P.	2.39	HtaR suppressor protein homolog , hypothetical protein , unknown protein
TU104	3	110366	112839	+	slr0724, slr0725, slr0727	exp. P.	2.39	HtaR suppressor protein homolog , hypothetical protein , unknown protein
TU106	1	112840	114174	+	NA	HL	1.36	ncRNA, hypothetical protein
TU105	1	112840	114174	+	ncr0050, slr0728	HL	1.36	ncRNA, hypothetical protein
TU106	0	113323	113239	-	NA	#REF!	1.09	NA
TU105	0	113323	113239	-	ncr0050, slr0728	#REF!	1.09	NA
TU108	3	114236	116653	+	sll0704	P	1.03	hypothetical protein , hypothetical protein , hypothetical protein
TU107	3	114236	116653	+	slr0729, slr0730, slr0731	P	1.03	hypothetical protein , hypothetical protein , hypothetical protein
TU108	1	117736	116276	-	sll0704	stat. P.	1.57	NifS protein
TU107	1	117736	116276	-	slr0729, slr0730, slr0731	stat. P.	1.57	NifS protein
NA	1	117840	117941	+	NA	Fe	1.27	hypothetical protein
TU109	1	117840	117941	+	slr0732	Fe	1.27	hypothetical protein
NA	1	120557	120922	+	NA	15C	3.76	ncRNA, integrase-recombinase protein
TU110	1	120557	120922	+	ncr0060, slr0733	15C	3.76	ncRNA, integrase-recombinase protein
TU112	1	122264	124366	+	sll0698, sll0699, sll0700	N	2.11	hypothetical protein
TU111	1	122264	124366	+	slr0734	N	2.11	hypothetical protein
TU112	3	126461	123395	-	sll0698, sll0699, sll0700	exp. P.	1.95	drug sensory protein A, low temperature sensor, tw o-component sensor histidine kinase , putative transposase [ISY100_i] , putative transposase [ISY100_i]
TU111	3	126461	123395	-	slr0734	exp. P.	1.95	drug sensory protein A, low temperature sensor, tw o-component sensor histidine kinase , putative transposase [ISY100_i] , putative transposase [ISY100_i]
NA	2	126607	128748	+	NA	P	1.91	photosystem I subunit II , anthranilate synthetase alpha-subunit
TU113	2	126607	128748	+	slr0737, slr0738	P	1.91	photosystem I subunit II , anthranilate synthetase alpha-subunit
TU115	1	128749	129748	+	NA	15C	1.71	geranylgeranyl pyrophosphate synthase
TU114	1	128749	129748	+	slr0739	15C	1.71	geranylgeranyl pyrophosphate synthase
TU115, TU117	1	129749	130397	+	NA	Fe	1.16	hypothetical protein
TU116	1	129749	130397	+	slr0740	Fe	1.16	hypothetical protein
TU115	0	130126	129194	-	NA	N	1.44	NA
TU114, TU116	0	130126	129194	-	slr0739, slr0740	N	1.44	NA
TU117	0	130620	130127	-	NA	15C	1.43	NA
TU116	0	130620	130127	-	slr0740	15C	1.43	NA
NA	1	130965	131500	+	sll0696	15C	1.19	pho regulon negative regulator
TU118	1	130965	131500	+	slr0741	15C	1.19	pho regulon negative regulator
TU119	5	131860	138264	+	slr0742, slr0743, slr0743a, slr0744, slr0236	15C	1.02	hypothetical protein , similar to N utilization substance protein , YlxR, translation initiation factor IF-2 , similar to glutathione S-transferase
TU120, TU121	5	131860	138264	+	ssl0431	15C	1.02	hypothetical protein , similar to N utilization substance protein , YlxR, translation initiation factor IF-2 , similar to glutathione S-transferase
TU120	0	134005	133806	-	NA	exp. P.	4.49	NA
TU119	0	134005	133806	-	slr0742, slr0743, slr0743a, slr0744, slr0236	exp. P.	4.49	NA
TU121	0	136871	136701	-	NA	HL	1.87	NA
TU119	0	136871	136701	-	slr0742, slr0743, slr0743a, slr0744, slr0236	HL	1.87	NA
TU123	2	138265	141097	+	ncl0040, ssl0431	N	1.81	glycogen operon protein GlgX homolog , hypothetical protein
TU122	2	138265	141097	+	slr0237, slr0238	N	1.81	glycogen operon protein GlgX homolog , hypothetical protein
TU123	0	141060	138767	-	ncl0040	15C	1.51	NA
TU122	0	141060	138767	-	slr0237, slr0238	15C	1.51	NA
TU124	1	141098	141721	+	slr0239	15C	1.58	precorrin methylase
NA	1	141098	141721	+	ssl0426	15C	1.58	precorrin methylase
TU125	2	142514	143880	+	NA	N	2.03	transcriptional regulator , hypothetical protein
TU126	2	142514	143880	+	slr0240, slr0241	N	2.03	transcriptional regulator , hypothetical protein
TU125	0	142832	141839	-	NA	15C	1.08	NA
TU126	0	142832	141839	-	slr0239, slr0240, slr0241	15C	1.08	NA
TU127	2	143881	145238	+	ncr0070, slr0242, slr0243	42C	1.27	ncRNA, bacterioferritin comigratory protein homolog , hypothetical protein
TU128	2	143881	145238	+	sll0230	42C	1.27	ncRNA, bacterioferritin comigratory protein homolog , hypothetical protein
TU127	1	145512	144797	-	ncr0070, slr0242, slr0243	exp. P.	1.38	hypothetical protein
TU128	1	145512	144797	-	sll0230	exp. P.	1.38	hypothetical protein
TU130	1	145673	146805	+	slr0244	P	1.33	hypothetical protein
TU129, TU131, TU132, TU133, TU134	1	145673	146805	+	sml0003	P	1.33	hypothetical protein
TU129	0	145766	145649	-	NA	exp. P.	1.18	NA
TU130	0	145766	145649	-	slr0244	exp. P.	1.18	NA
TU131	0	146048	145984	-	NA	15C	3.35	NA
TU130	0	146048	145984	-	slr0244	15C	3.35	NA
TU132	0	146507	146336	-	NA	15C	1.51	NA
TU130	0	146507	146336	-	slr0244	15C	1.51	NA
TU133	0	146613	146514	-	NA	HL	1.22	NA
TU130	0	146613	146514	-	slr0244	HL	1.22	NA
TU134, TU136	1	146806	147974	+	sll0226, sll0227, sll0228, sml0003	exp. P.	1.11	acetylpolyamine aminohydolase
TU135	1	146806	147974	+	slr0245	exp. P.	1.11	acetylpolyamine aminohydolase
TU130, TU135	1	146868	146660	-	slr0244, slr0245	exp. P.	3.77	NA
TU134	1	146868	146660	-	sml0003	exp. P.	3.77	NA
TU136	3	150489	147876	-	sll0226, sll0227, sll0228	15C	2.36	photosystem I assembly related protein , peptidylProlyl cis-trans isomerase B, periplasmic protein , arginase
TU135	3	150489	147876	-	slr0245	15C	2.36	photosystem I assembly related protein , peptidylProlyl cis-trans isomerase B, periplasmic protein , arginase
TU138	0	152681	153164	+	NA	exp. P.	1.44	NA
TU137	0	152681	153164	+	sll0224, sll0225	exp. P.	1.44	NA
TU138	2	153069	151889	-	NA	exp. P.	1.29	amino-acid ABC transporter binding protein , unknown protein
TU137	2	153069	151889	-	sll0224, sll0225	exp. P.	1.29	amino-acid ABC transporter binding protein , unknown protein
NA	1	153165	154020	+	NA	exp. P.	1.69	ncRNA, hypothetical protein
TU139	1	153165	154020	+	rnpB, slr0249	exp. P.	1.69	ncRNA, hypothetical protein
NA	0	154021	154088	+	NA	N	1.08	NA
TU140	0	154021	154088	+	NA	N	1.08	NA
NA	1	154089	154697	+	NA	42C	1.28	hypothetical protein
TU141	1	154089	154697	+	slr0250	42C	1.28	hypothetical protein
NA	2	154698	155522	+	NA	15C	1.8	ATP-binding protein of ABC transporter , probable precorrin-6x reductase
TU142	2	154698	155522	+	slr0251, slr0252	15C	1.8	ATP-binding protein of ABC transporter , probable precorrin-6x reductase
TU143, TU145	1	156330	156741	+	ssl0410	P	1.87	photosystem I reaction center subunit X
TU144	1	156330	156741	+	ssr0390	P	1.87	photosystem I reaction center subunit X
TU143	0	156620	156054	-	NA	42C	1.02	NA
TU144	0	156620	156054	-	slr0252, ssr0390	42C	1.02	NA
TU145	1	157045	156621	-	ssl0410	exp. P.	1.4	unknown protein
TU144	1	157045	156621	-	ssr0390	exp. P.	1.4	unknown protein
TU147	0	158337	159003	+	NA	Fe	1.18	NA
TU146, TU148	0	158337	159003	+	sll0222, sll0223	Fe	1.18	NA
TU147	1	158636	157046	-	NA	HL	4.04	NAD(P)H-quinone oxidoreductase subunit 2
TU146	1	158636	157046	-	sll0223	HL	4.04	NAD(P)H-quinone oxidoreductase subunit 2
TU147	1	159791	158637	-	NA	0	1.05	alkaline phosphatase
TU148	1	159791	158637	-	sll0222	#REF!	1.05	alkaline phosphatase
NA	2	160133	159792	-	NA	15C	1.1	cytochrome b6-f complex subunit VIII , hypothetical protein
TU149	2	160133	159792	-	sml0004, sgl0002	15C	1.1	cytochrome b6-f complex subunit VIII , hypothetical protein
NA	0	160267	160166	-	NA	15C	1.34	NA
TU150	0	160267	160166	-	NA	15C	1.34	NA
NA	0	160312	160472	+	NA	15C	1.43	hypothetical protein 
TU151	0	160312	160472	+	slr0254	15C	1.43	hypothetical protein 
TU153	0	161666	161980	+	NA	15C	2.98	NA
TU152	0	161666	161980	+	sll0220, sll0221	15C	2.98	NA
TU154	0	162200	162365	+	NA	exp. P.	2.26	NA
TU152	0	162200	162365	+	sll0220, sll0221	exp. P.	2.26	NA
TU155	0	162980	163079	+	NA	15C	2.44	NA
TU152	0	162980	163079	+	sll0220, sll0221	15C	2.44	NA
TU152	2	163698	160923	-	sll0220, sll0221	Fe	1.36	L-glutamine:D-fructose-6P amidotransferase , bacterioferritin comigratory protein
TU153, TU154, TU155	2	163698	160923	-	slr0254	Fe	1.36	L-glutamine:D-fructose-6P amidotransferase , bacterioferritin comigratory protein
TU157	0	164997	165096	+	NA	15C	1.24	NA
TU156	0	164997	165096	+	sll0217, sll0218, sll0219	15C	1.24	NA
TU158	0	166849	167204	+	As1_flv4	exp. P.	1.96	antisense RNA
TU156	0	166849	167204	+	sll0217, sll0218, sll0219	exp. P.	1.96	antisense RNA
TU159	0	167540	167805	+	NA	Fe	1.12	NA
TU156	0	167540	167805	+	sll0217, sll0218, sll0219	Fe	1.12	NA
TU160	0	167875	167976	+	NA	exp. P.	2.26	NA
TU156	0	167875	167976	+	sll0217, sll0218, sll0219	exp. P.	2.26	NA
TU157, TU158, TU159, TU160	3	168188	163699	-	NA	HL	4.41	flavoprotein Flv4, hypothetical protein Flv2, flavoprotein
TU156	3	168188	163699	-	sll0217, sll0218, sll0219	HL	4.41	flavoprotein Flv4, hypothetical protein Flv2, flavoprotein
NA	0	168233	168420	+	NA	exp. P.	1.52	NA
TU161	0	168233	168420	+	ncr0080	exp. P.	1.52	NA
TU162	1	168421	170163	+	ncr0080, slr0257	42C	1.18	ncRNA, periplasmic carboxyl-terminal protease
TU163, TU164	1	168421	170163	+	sll0216	42C	1.18	ncRNA, periplasmic carboxyl-terminal protease
TU163	0	169750	169386	-	NA	P	1.03	NA
TU162	0	169750	169386	-	ncr0080, slr0257	P	1.03	NA
TU164, TU166	1	170392	171949	+	sll1321, sll1322, ssl2615, sll1323, sll1324, sll1325, sll1326, sll1327, sll0216	15C	1.57	hypothetical protein
TU165	1	170392	171949	+	slr1411	15C	1.57	hypothetical protein
TU162, TU165	1	170651	169823	-	ncr0080, slr0257, slr1411	15C	2.09	hypothetical protein
TU164	1	170651	169823	-	sll0216	15C	2.09	hypothetical protein
TU167	0	177536	177654	+	NA	N	1.52	NA
TU166	0	177536	177654	+	sll1321, sll1322, ssl2615, sll1323, sll1324, sll1325, sll1326, sll1327	N	1.52	NA
TU168	0	177856	178235	+	NA	42C	1.12	NA
TU166	0	177856	178235	+	sll1321, sll1322, ssl2615, sll1323, sll1324, sll1325, sll1326, sll1327	42C	1.12	NA
TU166	8	178117	171884	-	sll1321, sll1322, ssl2615, sll1323, sll1324, sll1325, sll1326, sll1327	HL	1.84	hypothetical protein , ATP synthase A chain of CF(0) , ATP synthase C chain of CF(0) , ATP synthase subunit b' of CF(0) , ATP synthase B chain (subunit I) of CF(0) , ATP synthase delta chain of CF(1) , ATP synthase alpha chain , ATP synthase gamma chain
TU165, TU167, TU168	8	178117	171884	-	slr1411	HL	1.84	hypothetical protein , ATP synthase A chain of CF(0) , ATP synthase C chain of CF(0) , ATP synthase subunit b' of CF(0) , ATP synthase B chain (subunit I) of CF(0) , ATP synthase delta chain of CF(1) , ATP synthase alpha chain , ATP synthase gamma chain
NA	1	178236	179685	+	NA	Dark	2.73	hypothetical protein
TU169	1	178236	179685	+	slr1413	Dark	2.73	hypothetical protein
TU171	2	179686	181613	+	NA	N	1.14	two-component sensor histidine kinase , hypothetical protein
